flowrate,pv,pv_minus_mode
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0,0.567993,-0.012891
0.03,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.569604,-0.01128
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0.03,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.57041,-0.010474
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.571216,-0.009668
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572021,-0.008863
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0.04,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0.03,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.572827,-0.008057
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0.03,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.573633,-0.007251
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.574438,-0.006446
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.57605,-0.004834
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
0,0.576855,-0.004029
